field,value,evidence_or_note
company,آسان پرداخت / آپ,
use_case,خرید مجدد بسته اینترنت در کانال آپ,
interview_date,,
interviewee_role,مدیر ارشد تلکام,
recent_real_event_0_or_2,,
current_process_shown_0_or_1,,
measurable_cost_or_kpi_0_or_2,,
buyer_data_and_crm_owners_identified_0_or_1,,
holdout_feasible_0_or_1,,
schema_or_sample_commitment_0_or_2,,
paid_diagnostic_or_formal_pilot_0_or_1,,
total_score_out_of_10,,
contrary_evidence,,
biggest_unknown,,
decision_proceed_investigate_stop,,
next_owner,,
next_action,,
next_action_date,,

