campaign_id,segment_fa,campaign_group,users,conversion_rate,incentive_cost_per_user_toman,estimated_revenue_toman,gross_margin_rate,channel_cost_per_user_toman,fulfillment_subsidy_per_user_toman,baseline_policy,recommended_action_fa
RET-049,کاربران وفادار اخیر,control,775,0.142,0,145000000,0.34,1800,0,high_incentive,بدون پیشنهاد
RET-049,کاربران وفادار اخیر,push_only,775,0.151,0,150000000,0.34,1800,0,high_incentive,بدون پیشنهاد
RET-049,کاربران وفادار اخیر,small_discount,775,0.158,25000,154000000,0.34,1800,0,high_incentive,بدون پیشنهاد
RET-049,کاربران وفادار اخیر,high_incentive,775,0.161,75000,156000000,0.34,1800,0,high_incentive,بدون پیشنهاد
RET-049,کاربران خاموش اما قابل فعال‌سازی,control,600,0.060,0,72000000,0.36,1800,0,high_incentive,فقط پوش
RET-049,کاربران خاموش اما قابل فعال‌سازی,push_only,600,0.080,0,96000000,0.36,1800,0,high_incentive,فقط پوش
RET-049,کاربران خاموش اما قابل فعال‌سازی,small_discount,600,0.087,25000,102000000,0.36,1800,0,high_incentive,فقط پوش
RET-049,کاربران خاموش اما قابل فعال‌سازی,high_incentive,600,0.091,75000,106000000,0.36,1800,0,high_incentive,فقط پوش
RET-049,کاربران حساس به تخفیف,control,800,0.074,0,124000000,0.31,2200,0,high_incentive,تخفیف کوچک
RET-049,کاربران حساس به تخفیف,push_only,800,0.082,0,134000000,0.31,2200,0,high_incentive,تخفیف کوچک
RET-049,کاربران حساس به تخفیف,small_discount,800,0.132,25000,214000000,0.31,2200,0,high_incentive,تخفیف کوچک
RET-049,کاربران حساس به تخفیف,high_incentive,800,0.146,75000,230000000,0.31,2200,0,high_incentive,تخفیف کوچک
RET-049,کاربران غیرفعال باارزش بالا,control,325,0.040,0,58000000,0.39,2500,0,high_incentive,مشوق قوی
RET-049,کاربران غیرفعال باارزش بالا,push_only,325,0.049,0,66000000,0.39,2500,0,high_incentive,مشوق قوی
RET-049,کاربران غیرفعال باارزش بالا,small_discount,325,0.071,25000,92000000,0.39,2500,0,high_incentive,مشوق قوی
RET-049,کاربران غیرفعال باارزش بالا,high_incentive,325,0.114,75000,136000000,0.39,2500,0,high_incentive,مشوق قوی
