customer_id,event_type,occurred_at,event_value_toman,order_id,order_status,discount_amount_toman,gross_margin_rate,channel
HASH-C001,purchase_completed,2026-01-02T09:14:00Z,720000,ORD-001,completed,0,0.31,app
HASH-C001,app_open,2026-03-21T18:40:00Z,0,,none,0,0.31,app
HASH-C001,purchase_completed,2026-05-12T12:05:00Z,840000,ORD-102,completed,25000,0.31,app
HASH-C002,purchase_completed,2026-01-04T11:00:00Z,460000,ORD-002,completed,30000,0.28,web
HASH-C002,push_open,2026-04-09T08:30:00Z,0,,none,0,0.28,push
HASH-C003,purchase_completed,2026-01-06T16:45:00Z,1150000,ORD-003,completed,0,0.36,app
HASH-C003,purchase_completed,2026-05-14T17:15:00Z,980000,ORD-108,completed,0,0.36,app
HASH-C004,purchase_completed,2026-01-08T14:20:00Z,530000,ORD-004,completed,20000,0.30,web
HASH-C004,sms_click,2026-04-18T10:10:00Z,0,,none,0,0.30,sms
HASH-C005,purchase_completed,2026-01-10T19:05:00Z,670000,ORD-005,completed,0,0.33,app
HASH-C005,purchase_completed,2026-05-15T20:30:00Z,760000,ORD-110,completed,15000,0.33,app
