customer_id_hash,transaction_id,purchased_at,transaction_status,operator,package_id,package_category,validity_days,paid_amount,net_revenue,discount_amount,cashback_amount,campaign_id,consent_status,preferred_channel,do_not_contact,contact_count_30d,last_contact_at
hash_demo_001,txn_001,2025-01-04T10:30:00Z,completed,operator_a,monthly_10gb,monthly,30,500000,25000,0,0,,granted,push,false,1,2026-01-20T08:00:00Z
hash_demo_001,txn_002,2025-02-05T11:20:00Z,completed,operator_a,monthly_10gb,monthly,30,500000,25000,10000,0,RET-001,granted,push,false,1,2026-01-20T08:00:00Z
hash_demo_001,txn_003,2025-03-08T09:10:00Z,completed,operator_a,monthly_20gb,monthly,30,720000,36000,0,0,,granted,push,false,1,2026-01-20T08:00:00Z
hash_demo_002,txn_004,2025-01-12T15:45:00Z,completed,operator_b,weekly_5gb,weekly,7,210000,10500,0,0,,granted,sms,false,3,2026-01-29T10:00:00Z
hash_demo_002,txn_005,2025-01-20T14:10:00Z,completed,operator_b,weekly_5gb,weekly,7,210000,10500,0,5000,RET-001,granted,sms,false,3,2026-01-29T10:00:00Z
hash_demo_002,txn_006,2025-02-01T16:05:00Z,completed,operator_b,monthly_10gb,monthly,30,480000,24000,0,0,,granted,sms,false,3,2026-01-29T10:00:00Z
hash_demo_003,txn_007,2025-05-10T08:00:00Z,completed,operator_a,monthly_10gb,monthly,30,510000,25500,0,0,,revoked,push,true,0,
hash_demo_003,txn_008,2025-06-11T08:30:00Z,completed,operator_a,monthly_10gb,monthly,30,510000,25500,0,0,,revoked,push,true,0,
hash_demo_004,txn_009,2025-08-15T19:00:00Z,completed,operator_c,monthly_20gb,monthly,30,700000,35000,20000,0,RET-002,granted,in_app,false,0,
hash_demo_004,txn_010,2025-09-16T19:10:00Z,completed,operator_c,monthly_20gb,monthly,30,700000,35000,0,0,,granted,in_app,false,0,
hash_demo_005,txn_011,2025-12-20T12:00:00Z,completed,operator_b,monthly_10gb,monthly,30,490000,24500,0,0,,granted,push,false,2,2026-01-28T12:00:00Z
hash_demo_005,txn_012,2026-01-22T12:15:00Z,completed,operator_b,monthly_10gb,monthly,30,490000,24500,0,0,,granted,push,false,2,2026-01-28T12:00:00Z
